island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Oshima,oshima4,1,197,720.5,925.5,0.0287,0.1911,strong,1.0,10.0,10.0,0.0,,
Oshima,oshima4,1,198,816.33,928.67,0.0215,0.1655,mixed,0.333,1.667,1.0,0.0,,
Oshima,oshima4,1,199,783.75,930.0,0.0287,0.1911,mixed,0.75,3.25,3.0,0.0,,
Oshima,oshima4,1,200,849.0,930.0,0.0215,0.1655,mixed,0.667,6.333,4.0,0.0,,
Oshima,oshima4,1,201,611.95,930.05,0.1577,0.4481,mixed,0.955,4.0,3.5,0.0,,
Oshima,oshima4,1,202,753.68,930.5,0.2724,0.5889,mixed,0.921,7.553,8.0,0.0,,
Oshima,oshima4,1,203,675.33,932.89,0.129,0.4053,strong,1.0,8.667,8.0,0.0,,
Oshima,oshima4,1,204,651.0,933.5,0.0143,0.1351,strong,1.0,8.0,8.0,0.0,,
Oshima,oshima4,1,205,599.5,934.0,0.0143,0.1351,mixed,0.5,5.0,5.0,0.0,,
Oshima,oshima4,1,206,591.64,938.38,0.3369,0.655,mixed,0.766,8.128,9.0,0.0,,
Oshima,oshima4,1,207,641.33,939.33,0.0215,0.1655,strong,1.0,6.333,6.0,0.0,,
Oshima,oshima4,1,208,702.44,940.56,0.0645,0.2866,mixed,0.667,5.667,4.0,0.0,,
Oshima,oshima4,1,209,732.5,941.0,0.0143,0.1351,strong,1.0,9.5,9.5,0.0,,
Oshima,oshima4,1,210,630.62,941.25,0.0573,0.2702,strong,1.0,7.125,5.5,0.0,,
Oshima,oshima4,1,211,850.86,944.99,0.595,0.8704,mixed,0.964,7.711,7.0,0.0,,
Oshima,oshima4,1,212,599.46,949.08,0.0932,0.3445,mixed,0.692,5.308,3.0,0.0,,
Oshima,oshima4,1,213,835.44,949.33,0.0645,0.2866,mixed,0.778,3.667,4.0,0.0,,
Oshima,oshima4,1,214,712.15,950.62,0.3369,0.655,mixed,0.936,7.468,7.0,0.0,,
Oshima,oshima4,1,215,747.61,950.64,0.2366,0.5488,mixed,0.939,6.485,7.0,0.0,,
Oshima,oshima4,1,216,663.5,951.5,0.0287,0.1911,mixed,0.5,5.0,2.0,0.0,,
Oshima,oshima4,1,217,722.0,953.0,0.0215,0.1655,strong,1.0,11.0,12.0,0.0,,
Oshima,oshima4,1,218,874.0,953.0,0.0645,0.2866,mixed,0.667,2.444,2.0,0.0,,
Oshima,oshima4,1,219,740.0,955.33,0.0215,0.1655,mixed,0.667,1.667,2.0,0.0,,
Oshima,oshima4,1,220,615.43,955.86,0.0502,0.2528,mixed,0.714,2.571,3.0,0.0,,
Oshima,oshima4,1,221,590.0,959.5,0.0143,0.1351,weak_recovered,0.0,-1.0,-1.0,0.0,,
