date,island,no,lat,lon,id,collar,organ,status,sheet,sheet_corolla_id,fold_state,corolla_length_mm,corolla_width_obs_mm,corolla_area_obs_mm2,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,roi_source,match_iou,has_nectar_guide,guide_coverage_pct,organ_length_mm,qc_flag,throat_width_mm,mouth_width_mm,corolla_aspect_L_W,tube_flare_W_throat,lobe_incision_mm,lobe_incision_ratio,organ_corolla_ratio,organ_status_check
2026.7.6,toshima,2,34.53157,139.27893,4,104,104,p,toshima1-2,16,folded_half,26.67,24.47,496.9,48.94,993.8,iphone,0.87,1,0.33,17.45,,27.43,48.77,0.54,1.78,4.37,0.16,0.65,
2026.7.6,toshima,2,34.53157,139.27893,3,105,105,s,toshima1-2,17,folded_half,28.19,26.5,575.6,53.0,1151.2,iphone,0.923,0,0.02,13.33,,32.77,52.15,0.53,1.62,5.25,0.19,0.47,
2026.7.6,toshima,2,34.53157,139.27893,5,106,106,p,toshima2-3,1,folded_half,29.04,22.86,561.4,45.72,1122.8,iphone,0.931,1,2.6,18.28,,30.14,44.53,0.64,1.52,3.3,0.11,0.63,
2026.7.6,toshima,2,34.53157,139.27893,6,107,107,p,toshima2-3,2,folded_half,33.78,24.21,658.7,48.42,1317.4,iphone,0.912,0,0.0,19.5,,27.35,48.6,0.7,1.77,5.16,0.15,0.58,
2026.7.6,toshima,2,34.53157,139.27893,6,108,108,p,toshima2-3,3,folded_half,30.48,22.61,533.0,45.22,1066.0,iphone,0.805,0,0.17,18.74,,27.94,45.04,0.67,1.62,6.37,0.21,0.61,
2026.7.6,toshima,2,34.53157,139.27893,7,109,109,p,toshima2-3,4,folded_half,21.76,18.46,302.4,36.92,604.8,iphone,0.948,1,0.73,13.58,,25.32,35.05,0.59,1.46,5.11,0.23,0.62,
2026.7.6,toshima,2,34.53157,139.27893,7,110,110,s,toshima2-3,5,folded_half,19.47,15.41,242.7,30.82,485.4,iphone,0.915,1,3.3,11.59,,18.97,29.97,0.63,1.63,2.62,0.13,0.6,
2026.7.6,toshima,2,34.53157,139.27893,8,111,111,s,toshima2-3,6,folded_half,34.12,22.69,637.7,45.38,1275.4,iphone,0.92,1,10.51,21.33,,31.83,44.03,0.75,1.43,5.63,0.17,0.63,
2026.7.6,toshima,2,34.53157,139.27893,8,112,112,s,toshima2-3,7,folded_half,33.36,22.18,633.4,44.36,1266.8,iphone,0.903,1,5.96,19.42,,28.96,43.52,0.75,1.53,4.38,0.13,0.58,
2026.7.6,toshima,2,34.53157,139.27893,9,113,113,s,toshima2-3,8,folded_half,36.15,22.94,655.1,45.88,1310.2,iphone,0.92,1,4.68,21.03,,28.11,44.03,0.79,1.63,5.04,0.14,0.58,
