sheet,corolla_id,fold_state,corolla_length_mm,corolla_width_fulleq_mm,throat_width_mm,mouth_width_mm,corolla_aspect_L_W,tube_flare_W_throat,lobe_incision_mm,lobe_incision_ratio,organ_corolla_ratio
toshima1-2,1,folded_half,27.94,36.24,30.73,34.37,0.77,1.18,3.97,0.14,0.55
toshima1-2,2,folded_half,24.38,31.66,21.67,30.14,0.77,1.46,2.65,0.11,0.67
toshima1-2,3,folded_half,28.53,39.96,28.11,39.29,0.71,1.42,3.0,0.11,0.68
toshima1-2,4,folded_half,29.29,35.22,27.09,34.54,0.83,1.3,5.33,0.18,0.62
toshima1-2,5,folded_half,25.4,32.52,22.35,32.0,0.78,1.45,2.88,0.11,0.64
toshima1-2,6,folded_half,28.36,41.32,26.42,39.96,0.69,1.56,3.3,0.12,0.6
toshima1-2,7,folded_half,31.75,46.22,31.16,42.59,0.69,1.48,4.74,0.15,0.58
toshima1-2,8,folded_half,24.21,37.94,28.53,35.14,0.64,1.33,3.3,0.14,0.71
toshima1-2,9,folded_half,30.48,41.32,26.25,39.62,0.74,1.57,3.06,0.1,0.54
toshima1-2,10,folded_half,32.17,52.66,37.08,49.95,0.61,1.42,6.01,0.19,0.63
toshima1-2,11,folded_half,32.43,46.4,28.62,45.64,0.7,1.62,5.06,0.16,0.58
toshima1-2,12,folded_half,26.84,37.6,24.13,36.91,0.71,1.56,3.73,0.14,0.68
toshima1-2,13,folded_half,33.1,48.26,26.75,46.74,0.69,1.8,6.94,0.21,0.55
toshima1-2,14,folded_half,24.64,42.5,23.03,42.16,0.58,1.85,3.3,0.13,0.59
toshima1-2,15,folded_half,32.0,56.56,26.33,55.37,0.57,2.15,2.46,0.08,0.65
toshima1-2,16,folded_half,26.67,48.94,27.43,48.77,0.54,1.78,4.37,0.16,0.65
toshima1-2,17,folded_half,28.19,53.0,32.77,52.15,0.53,1.62,5.25,0.19,0.47
toshima2-3,1,folded_half,29.04,45.72,30.14,44.53,0.64,1.52,3.3,0.11,0.63
toshima2-3,2,folded_half,33.78,48.42,27.35,48.6,0.7,1.77,5.16,0.15,0.58
toshima2-3,3,folded_half,30.48,45.22,27.94,45.04,0.67,1.62,6.37,0.21,0.61
toshima2-3,4,folded_half,21.76,36.92,25.32,35.05,0.59,1.46,5.11,0.23,0.62
toshima2-3,5,folded_half,19.47,30.82,18.97,29.97,0.63,1.63,2.62,0.13,0.6
toshima2-3,6,folded_half,34.12,45.38,31.83,44.03,0.75,1.43,5.63,0.17,0.63
toshima2-3,7,folded_half,33.36,44.36,28.96,43.52,0.75,1.53,4.38,0.13,0.58
toshima2-3,8,folded_half,36.15,45.88,28.11,44.03,0.79,1.63,5.04,0.14,0.58
toshima2-3,9,folded_half,34.54,49.1,31.33,39.45,0.7,1.57,8.3,0.24,0.52
toshima2-3,10,folded_half,28.19,45.56,26.67,44.87,0.62,1.71,5.05,0.18,0.6
toshima2-3,11,folded_half,27.6,42.68,21.0,41.32,0.65,2.03,3.81,0.14,0.67
toshima2-3,12,folded_half,28.36,48.26,29.8,45.21,0.59,1.62,5.67,0.2,0.65
toshima2-3,13,folded_half,28.11,48.26,25.48,47.58,0.58,1.89,5.86,0.21,0.59
toshima2-3,14,folded_half,30.65,50.12,26.92,48.6,0.61,1.86,4.57,0.15,0.49
toshima2-3,15,folded_half,32.85,51.98,31.83,50.12,0.63,1.63,6.35,0.19,0.58
toshima2-3,16,folded_half,30.06,49.78,28.02,49.11,0.6,1.78,4.5,0.15,0.62
toshima3-6,1,folded_half,24.72,44.02,29.97,36.66,0.56,1.47,5.67,0.23,0.61
toshima3-6,2,folded_half,27.43,39.8,24.38,38.95,0.69,1.63,3.89,0.14,0.57
toshima3-6,3,folded_half,21.0,33.36,24.47,31.24,0.63,1.36,3.73,0.18,0.61
toshima3-6,4,folded_half,24.72,35.06,25.74,34.37,0.71,1.36,3.33,0.13,0.59
toshima3-6,5,opened_full,26.92,41.57,22.69,34.08,0.65,1.83,7.95,0.3,0.66
toshima3-6,6,folded_half,19.13,31.16,21.17,26.16,0.61,1.47,3.97,0.21,0.76
toshima3-6,7,folded_half,32.26,52.84,27.6,50.8,0.61,1.91,4.74,0.15,0.72
toshima3-6,8,folded_half,32.43,51.82,28.28,50.04,0.63,1.83,4.15,0.13,0.69
toshima3-6,9,folded_half,35.73,52.32,36.24,51.31,0.68,1.44,4.93,0.14,0.53
toshima3-6,10,folded_half,31.07,46.9,24.72,45.21,0.66,1.9,4.91,0.16,0.56
toshima3-6,11,folded_half,31.33,54.36,34.54,53.26,0.58,1.57,2.54,0.08,0.62
toshima3-6,12,folded_half,34.46,52.16,36.75,51.99,0.66,1.42,2.4,0.07,0.58
toshima3-6,13,folded_half,31.07,39.12,28.45,37.42,0.79,1.38,3.42,0.11,0.59
toshima3-6,14,folded_half,26.84,36.92,27.94,35.56,0.73,1.32,3.39,0.13,0.69
toshima3-6,15,folded_half,28.45,45.88,29.46,44.87,0.62,1.56,5.5,0.19,0.56
toshima6-8,1,folded_half,26.67,43.02,27.26,41.15,0.62,1.58,5.59,0.21,0.68
toshima6-8,2,folded_half,25.82,43.34,25.48,43.18,0.6,1.7,3.96,0.15,0.58
toshima6-8,3,opened_full,26.92,38.61,23.54,29.84,0.7,1.64,8.81,0.33,0.75
toshima6-8,4,folded_half,26.59,38.6,28.96,38.27,0.69,1.33,3.64,0.14,0.65
toshima6-8,5,folded_half,28.11,46.22,30.73,45.55,0.61,1.5,4.23,0.15,0.65
toshima6-8,6,folded_half,32.51,49.44,27.43,47.41,0.66,1.8,4.15,0.13,0.66
toshima6-8,7,folded_half,28.96,48.42,29.13,46.23,0.6,1.66,4.39,0.15,0.71
toshima6-8,8,folded_half,23.71,42.0,22.35,40.13,0.56,1.88,2.37,0.1,0.79
toshima6-8,9,folded_half,32.34,52.16,30.56,50.88,0.62,1.71,5.18,0.16,0.67
toshima6-8,10,folded_half,31.16,68.08,34.04,61.3,0.46,2.0,6.1,0.2,0.57
toshima6-8,11,folded_half,32.68,58.26,31.07,58.59,0.56,1.87,6.6,0.2,0.57
toshima6-8,12a,folded_half,34.46,60.8,38.27,59.94,0.57,1.59,7.45,0.22,0.49
toshima6-8,12b,folded_half,33.96,52.54,31.92,51.31,0.65,1.65,5.38,0.16,0.63
toshima6-8,13,folded_half,32.51,52.16,26.67,50.63,0.62,1.96,6.69,0.21,0.63
toshima6-8,14,folded_half,35.98,53.84,29.63,51.65,0.67,1.82,0.76,0.02,0.59
toshima6-8,15,folded_half,28.87,44.36,16.43,46.74,0.65,2.7,5.5,0.19,0.58
