island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Niijima,niijima2,1,,302.67,1059.67,0.0215,0.1655,oxidized_recovered,0.0,-5.333,-5.0,,,
Niijima,niijima2,1,,166.5,1061.5,0.0143,0.1351,oxidized_recovered,0.0,7.5,7.5,,,
Niijima,niijima2,1,,249.17,1062.67,0.043,0.234,oxidized_recovered,0.0,-4.667,-4.5,,,
Niijima,niijima2,1,,296.84,1062.74,0.1362,0.4164,oxidized_recovered,0.0,-4.947,-5.0,,,
Niijima,niijima2,1,,200.35,1065.0,0.2222,0.5319,oxidized_recovered,0.0,-5.419,-4.0,,,
Niijima,niijima2,1,,292.44,1066.31,0.1147,0.3821,oxidized_recovered,0.0,-10.938,-13.0,,,
Niijima,niijima2,1,,311.5,1067.5,0.0143,0.1351,oxidized_recovered,0.0,-1.0,-1.0,,,
Niijima,niijima2,1,,324.67,1067.5,0.043,0.234,oxidized_recovered,0.0,-0.333,-1.5,,,
Niijima,niijima2,1,,318.75,1067.75,0.0287,0.1911,oxidized_recovered,0.0,-4.25,-4.0,,,
Niijima,niijima2,1,,168.33,1068.33,0.0215,0.1655,oxidized_recovered,0.0,7.0,8.0,,,
Niijima,niijima2,1,,244.0,1068.5,0.0143,0.1351,oxidized_recovered,0.0,-6.5,-6.5,,,
Niijima,niijima2,1,,298.5,1069.0,0.0143,0.1351,oxidized_recovered,0.0,-5.0,-5.0,,,
Niijima,niijima2,1,,336.29,1070.85,0.3943,0.7085,oxidized_recovered,0.0,-18.255,-19.0,,,
Niijima,niijima2,1,,294.0,1071.0,0.0358,0.2136,oxidized_recovered,0.0,-5.8,-6.0,,,
Niijima,niijima2,1,,157.0,1071.5,0.0143,0.1351,oxidized_recovered,0.0,-1.0,-1.0,,,
Niijima,niijima2,1,,241.6,1072.4,0.0717,0.3021,oxidized_recovered,0.0,-9.0,-11.0,,,
Niijima,niijima2,1,,282.9,1072.4,0.2151,0.5233,oxidized_recovered,0.0,-10.267,-11.0,,,
Niijima,niijima2,1,,288.0,1073.5,0.0143,0.1351,oxidized_recovered,0.0,0.5,0.5,,,
Niijima,niijima2,1,,200.5,1074.0,0.0143,0.1351,oxidized_recovered,0.0,7.5,7.5,,,
Niijima,niijima2,1,,334.0,1074.5,0.0287,0.1911,oxidized_recovered,0.0,-20.25,-21.0,,,
Niijima,niijima2,1,,253.07,1074.58,0.3226,0.6409,oxidized_recovered,0.0,-11.689,-12.0,,,
Niijima,niijima2,1,,194.12,1074.76,0.1219,0.3939,oxidized_recovered,0.0,-1.294,-2.0,,,
Niijima,niijima2,1,,263.78,1074.84,0.2294,0.5404,oxidized_recovered,0.0,-7.625,-8.0,,,
Niijima,niijima2,1,,298.38,1075.14,0.2079,0.5145,oxidized_recovered,0.0,-2.931,-3.0,,,
Niijima,niijima2,1,,268.5,1076.5,0.0143,0.1351,oxidized_recovered,0.0,-6.5,-6.5,,,
Niijima,niijima2,1,,272.0,1076.5,0.0143,0.1351,oxidized_recovered,0.0,-13.0,-13.0,,,
Niijima,niijima2,1,,327.35,1076.77,0.4301,0.74,oxidized_recovered,0.0,-6.45,-6.0,,,
Niijima,niijima2,1,,261.0,1079.0,0.0287,0.1911,oxidized_recovered,0.0,-15.5,-16.0,,,
Niijima,niijima2,1,,158.33,1080.33,0.0215,0.1655,oxidized_recovered,0.0,10.667,11.0,,,
Niijima,niijima2,1,,247.0,1081.34,0.2079,0.5145,oxidized_recovered,0.0,-9.724,-10.0,,,
Niijima,niijima2,1,,155.0,1082.0,0.0215,0.1655,oxidized_recovered,0.0,8.667,9.0,,,
Niijima,niijima2,1,,240.5,1083.5,0.0143,0.1351,oxidized_recovered,0.0,0.0,0.0,,,
Niijima,niijima2,1,,295.25,1083.5,0.0573,0.2702,oxidized_recovered,0.0,-3.625,-3.5,,,
Niijima,niijima2,1,,289.92,1083.92,0.086,0.3309,oxidized_recovered,0.0,-3.25,-3.0,,,
Niijima,niijima2,1,,203.0,1084.5,0.0143,0.1351,oxidized_recovered,0.0,-4.0,-4.0,,,
Niijima,niijima2,1,,266.25,1085.0,0.0287,0.1911,oxidized_recovered,0.0,-3.5,-3.5,,,
Niijima,niijima2,1,,347.35,1085.4,0.1434,0.4273,oxidized_recovered,0.0,-15.1,-15.0,,,
Niijima,niijima2,1,,274.78,1085.44,0.129,0.4053,oxidized_recovered,0.0,-6.611,-5.0,,,
Niijima,niijima2,1,,153.0,1085.5,0.0143,0.1351,oxidized_recovered,0.0,9.5,9.5,,,
Niijima,niijima2,1,,161.0,1085.5,0.0143,0.1351,oxidized_recovered,0.0,9.0,9.0,,,
Niijima,niijima2,1,,312.5,1087.0,0.0287,0.1911,oxidized_recovered,0.0,-1.75,-1.5,,,
Niijima,niijima2,1,,323.0,1087.25,0.0287,0.1911,oxidized_recovered,0.0,-10.75,-10.5,,,
Niijima,niijima2,1,,210.62,1087.62,0.0573,0.2702,oxidized_recovered,0.0,-3.25,-1.5,,,
Niijima,niijima2,1,,150.4,1089.0,0.0358,0.2136,oxidized_recovered,0.0,5.4,6.0,,,
Niijima,niijima2,1,,262.04,1089.11,0.6667,0.9213,oxidized_recovered,0.0,-11.538,-11.0,,,
Niijima,niijima2,1,,249.0,1089.17,0.172,0.468,oxidized_recovered,0.0,-7.292,-6.0,,,
Niijima,niijima2,1,,199.91,1089.92,0.6237,0.8911,oxidized_recovered,0.0,-9.345,-10.0,,,
Niijima,niijima2,1,,282.65,1090.47,0.1219,0.3939,oxidized_recovered,0.0,-6.824,-5.0,,,
Niijima,niijima2,1,,306.4,1091.4,0.0358,0.2136,oxidized_recovered,0.0,-2.8,-3.0,,,
Niijima,niijima2,1,,328.33,1091.56,0.0645,0.2866,oxidized_recovered,0.0,-2.667,0.0,,,
Niijima,niijima2,1,,299.83,1091.67,0.043,0.234,oxidized_recovered,0.0,-4.833,-5.5,,,
Niijima,niijima2,1,,180.5,1092.0,0.0143,0.1351,oxidized_recovered,0.0,7.5,7.5,,,
Niijima,niijima2,1,,256.33,1092.0,0.0215,0.1655,oxidized_recovered,0.0,-15.333,-15.0,,,
Niijima,niijima2,1,,335.0,1092.0,0.0358,0.2136,oxidized_recovered,0.0,-6.4,-6.0,,,
Niijima,niijima2,1,,166.1,1092.4,0.0717,0.3021,oxidized_recovered,0.0,5.0,5.5,,,
